"일자","충전_효율","주행거리별_온도_합계"
2020-01-01,1231.4644210473,-1.03490078048211
2020-01-02,1691.70468631019,1.41203293647053
2020-01-03,1846.19143282491,0.936751810864669
2020-01-04,1612.13948619657,2.83352608444063
2020-01-05,1391.81653320812,3.84048107860984
2020-01-06,1709.34256036457,5.461451875762
2020-01-07,1719.35335066018,8.06674554078879
2020-01-08,1697.40517460753,2.26268276398627
2020-01-09,1851.82536968428,-2.15372012682778
2020-01-10,1843.42101150861,0.562715639827137
2020-01-11,1750.60785314759,0.795504931591291
2020-01-12,1380.98205891071,-1.27462014074778
2020-01-13,1844.82422434525,-4.0140406358646
2020-01-14,1816.66854627063,-2.81821668705862
2020-01-15,1766.49239064486,-3.03999464224628
2020-01-16,1849.07441401754,-1.52160378415695
2020-01-17,1891.48956114837,0.533736317002825
2020-01-18,1732.3083303641,2.35770606323762
2020-01-19,1415.42465166964,2.8220722444082
2020-01-20,1924.0972188231,0.629590514365938
2020-01-21,1808.28798249923,2.14803786726814
2020-01-22,1984.90008400863,5.53330346077543
2020-01-23,1845.54126350748,7.56151996453794
2020-01-24,1329.05632873796,4.60096141186236
2020-01-25,1482.75988863718,6.8444225437387
2020-01-26,1367.35422400279,8.6665754695521
2020-01-27,1203.62304095475,7.25702583791225
2020-01-28,1811.8806905838,9.96842712548796
2020-01-29,1926.46022539717,9.2966076532792
2020-01-30,1967.93950015458,8.71631523727497
2020-01-31,1817.63398342317,5.83609707433733
2020-02-01,1556.05756640734,4.16699659278241
2020-02-02,1207.80603084475,2.17656697229603
2020-02-03,1806.95630064164,-1.43929528155599
2020-02-04,1798.60109210492,-2.3685503366425
2020-02-05,1675.81098179699,-11.5602643934836
2020-02-06,1652.96391488714,-5.96434627107762
2020-02-07,1739.9302009416,-0.577777854083427
2020-02-08,1546.17821844535,0.0827011330936891
2020-02-09,1261.78891205482,1.37214245324982
2020-02-10,1668.34848251619,6.46104817882208
2020-02-11,1789.29124683872,13.1112276609756
2020-02-12,1741.44300382893,10.0168421007929
2020-02-13,1874.45913474625,9.30552050767733
2020-02-14,1897.37855912037,14.0354414910566
2020-02-15,1763.56260309018,13.1709368909845
2020-02-16,1211.33105318729,-3.63314277722871
2020-02-17,1562.03731449088,-8.77350782968274
2020-02-18,1702.52786500093,-3.91694967206655
2020-02-19,1852.80564732724,3.71020671308877
2020-02-20,1808.42818474812,8.71323604948124
2020-02-21,1795.37425412874,11.1394897798819
2020-02-22,1545.30056002049,4.34859730252833
2020-02-23,1188.66630923812,4.72567755643434
2020-02-24,1766.59821843775,11.6408916093218
2020-02-25,1670.90595348844,8.33257043951233
2020-02-26,1790.72361569878,9.50937248643124
2020-02-27,1749.76724631184,10.6473544957129
2020-02-28,1613.02620566055,5.9963707681571
2020-02-29,1402.53452437221,9.85977237479469
2020-03-01,1016.03736081045,5.57779279329069
2020-03-02,1728.0552592177,5.23551302955581
2020-03-03,1721.99946818284,8.41528732952266
2020-03-04,1656.86653630139,1.54705200461577
2020-03-05,1684.12061351666,2.82372461840731
2020-03-06,1759.97891969079,7.45380079302323
2020-03-07,1462.55171120584,10.0269526400411
2020-03-08,1177.79923626664,12.2064761804076
2020-03-09,1868.48626175367,16.794115124183
2020-03-10,1665.69079422621,6.78265326810172
2020-03-11,1683.53338703916,5.98639365066283
2020-03-12,1809.57942582574,11.4226809157458
2020-03-13,1330.46943990583,3.93837850211011
2020-03-14,1523.07413082082,6.79733856046838
2020-03-15,1118.13058286287,3.91563828601418
2020-03-16,1748.47841731186,7.58972892140189
2020-03-17,1715.48058581375,9.74985113150825
2020-03-18,1790.90098801358,18.1786689886282
2020-03-19,1682.26964869458,10.6650522523941
2020-03-20,1888.87698020337,14.9751262121984
2020-03-21,1497.4696405996,16.5598629874762
2020-03-22,1208.88435126107,13.5774736579752
2020-03-23,1793.48065699213,16.3445369144212
2020-03-24,1848.02084690414,18.0347102126482
2020-03-25,1834.07802622271,19.9229920431259
2020-03-26,1857.63958295978,22.9331677960527
2020-03-27,1789.01905511309,15.6759432337138
2020-03-28,1521.73206640702,10.0672579581926
2020-03-29,1238.55659671652,12.3711108267577
2020-03-30,1757.07804551365,15.8430179816919
2020-03-31,1731.1359837148,19.6126575247704
2020-04-01,1752.7451575324,15.3982670624356
2020-04-02,1813.36664190546,15.1968090984556
2020-04-03,1799.25346862704,15.909356520894
2020-04-04,1513.75984642017,11.1674212448201
2020-04-05,1128.57809204946,9.69891067139552
2020-04-06,1671.98151372084,15.2722709551
2020-04-07,1863.23932285831,16.0224158043521
2020-04-08,1872.20839524026,14.3013192606462
2020-04-09,1784.22884221985,14.6425271161161
2020-04-10,1798.55199877966,17.0067597322845
2020-04-11,1617.50548345861,13.4530133989786
2020-04-12,1217.65330669588,12.9686096809238
2020-04-13,1882.87923755005,20.191101159678
2020-04-14,1975.82322996314,19.8308124507709
2020-04-15,1366.60393876364,18.3981502993715
2020-04-16,2010.71404571408,25.6677729063404
2020-04-17,1751.42082719022,15.9963487075348
2020-04-18,1649.9097951552,18.666890813552
2020-04-19,1181.44902760157,14.1977331244355
2020-04-20,1802.95799841073,14.2119631611205
2020-04-21,1822.3260081495,10.4879807385655
2020-04-22,1743.98144469067,8.91273463345178
2020-04-23,1756.90086176602,13.1342405925436
2020-04-24,1917.02180288312,17.5887288475028
2020-04-25,1749.71962845489,17.8668119054044
2020-04-26,1268.63891179519,17.054035545476
2020-04-27,1844.82844712612,19.6087459761909
2020-04-28,1937.58489466407,22.733005149745
2020-04-29,1861.36128559081,23.7896834707956
